Employees working very long hours,Job security,Student skills,Long-term unemployment rate,Life expectancy,Life satisfaction,Employment rate,Homicide rate,Time devoted to leisure and personal care,Dwellings without basic facilities,Water quality,Educational attainment,Assault rate,Consultation on rule-making,Household net adjusted disposable income,Air pollution,Self-reported health,Rooms per person,Years in education,Quality of support network,Voter turnout,Personal earnings,Household net financial wealth,Housing expenditure,Country,GDP
14.02,4.8,512.0,1.08,82.1,7.3,72.0,0.8,14.41,1.1,91.0,76.0,2.1,10.5,31588.0,13.0,85.0,2.3,19.4,92.0,93.0,50449.0,47657.0,20.0,Australia,50961.865
7.61,3.9,500.0,1.19,81.0,6.9,72.0,0.4,14.46,1.0,94.0,83.0,3.4,7.1,31173.0,27.0,69.0,1.6,17.0,89.0,75.0,45199.0,49887.0,21.0,Austria,43724.030999999995
4.57,5.0,509.0,3.88,80.5,6.9,62.0,1.1,15.71,2.0,87.0,72.0,6.6,4.5,28307.0,21.0,74.0,2.2,18.9,94.0,89.0,48082.0,83876.0,21.0,Belgium,40106.632000000005
3.94,6.4,522.0,0.9,81.5,7.3,72.0,1.5,14.25,0.2,91.0,89.0,1.3,10.5,29365.0,15.0,89.0,2.5,17.2,92.0,61.0,46911.0,67913.0,21.0,Canada,43331.960999999996
6.98,4.1,500.0,3.12,78.2,6.5,68.0,0.8,14.98,0.9,85.0,92.0,2.8,6.8,18404.0,16.0,60.0,1.4,18.1,85.0,59.0,20338.0,17299.0,26.0,Czech Republic,17256.918
2.03,5.6,498.0,1.78,80.1,7.5,73.0,0.3,16.06,0.9,94.0,78.0,3.9,7.0,26491.0,15.0,72.0,1.9,19.4,95.0,88.0,48347.0,44488.0,24.0,Denmark,52114.165
3.58,6.9,529.0,1.73,80.7,7.4,69.0,1.4,14.89,0.6,94.0,85.0,2.4,9.0,27927.0,15.0,65.0,1.9,19.7,95.0,69.0,40060.0,18761.0,22.0,Finland,41973.988
8.15,6.5,500.0,3.99,82.1,6.5,64.0,0.6,15.33,0.5,82.0,73.0,5.0,3.5,28799.0,12.0,67.0,1.8,16.4,87.0,80.0,40242.0,48741.0,21.0,France,37675.006
5.25,3.1,515.0,2.37,81.0,7.0,73.0,0.5,15.31,0.1,95.0,86.0,3.6,4.5,31252.0,16.0,65.0,1.8,18.2,94.0,72.0,43682.0,50394.0,21.0,Germany,40996.511
6.16,12.2,466.0,18.39,80.7,4.8,49.0,1.6,14.91,0.7,69.0,68.0,3.7,6.5,18575.0,27.0,74.0,1.2,18.6,83.0,64.0,25503.0,14579.0,25.0,Greece,18064.288
3.19,5.7,487.0,5.1,75.2,4.9,58.0,1.3,15.04,4.8,77.0,82.0,3.6,7.9,15442.0,15.0,57.0,1.1,17.6,87.0,62.0,20948.0,13277.0,20.0,Hungary,12239.893999999998
12.25,4.1,484.0,1.18,83.0,7.5,82.0,0.3,14.61,0.4,97.0,71.0,2.7,5.1,23965.0,18.0,77.0,1.5,19.8,96.0,81.0,55716.0,43045.0,24.0,Iceland,50854.583
4.2,5.9,516.0,8.39,81.0,7.0,60.0,0.8,15.19,0.2,80.0,75.0,2.6,9.0,23917.0,13.0,82.0,2.1,17.6,96.0,70.0,49506.0,31580.0,19.0,Ireland,51350.744000000006
3.66,5.9,490.0,6.94,82.3,6.0,56.0,0.7,14.98,1.1,71.0,57.0,4.7,5.0,25166.0,21.0,66.0,1.4,16.8,90.0,75.0,34561.0,54987.0,24.0,Italy,29866.581000000002
22.26,2.4,540.0,1.67,83.2,5.9,72.0,0.3,14.93,6.4,85.0,94.0,1.4,7.3,26111.0,24.0,30.0,1.8,16.3,89.0,53.0,35405.0,86764.0,22.0,Japan,32485.545
18.72,3.2,542.0,0.01,81.3,5.8,64.0,1.1,14.63,4.2,78.0,82.0,2.1,10.4,19510.0,30.0,35.0,1.4,17.5,72.0,76.0,36354.0,29091.0,16.0,Korea,27195.197
3.47,4.3,490.0,1.78,81.5,6.9,66.0,0.4,15.12,0.1,86.0,78.0,4.3,6.0,38951.0,12.0,72.0,2.0,15.1,87.0,91.0,56021.0,61765.0,21.0,Luxembourg,101994.09300000001
28.83,4.9,417.0,0.08,74.6,6.7,61.0,23.4,13.89,4.2,67.0,37.0,12.8,9.0,13085.0,30.0,66.0,1.0,14.4,77.0,63.0,16193.0,9056.0,21.0,Mexico,9009.28
0.45,4.5,519.0,2.4,81.2,7.3,74.0,0.9,15.44,0.0,92.0,73.0,4.9,6.1,27888.0,30.0,76.0,2.0,18.7,90.0,75.0,47590.0,77961.0,19.0,Netherlands,43603.115
13.87,5.1,509.0,0.75,81.5,7.3,73.0,1.2,14.87,0.2,89.0,74.0,2.2,10.3,23815.0,11.0,90.0,2.4,18.1,94.0,77.0,35609.0,28290.0,23.0,New Zealand,37044.891
2.82,3.1,496.0,0.32,81.5,7.4,75.0,0.6,15.56,0.3,94.0,82.0,3.3,8.1,33492.0,16.0,76.0,2.0,17.9,94.0,78.0,50282.0,8797.0,17.0,Norway,74822.106
7.41,7.3,521.0,3.77,76.9,5.8,60.0,0.9,14.2,3.2,79.0,90.0,1.4,10.8,17852.0,33.0,58.0,1.1,18.4,91.0,55.0,22655.0,10919.0,21.0,Poland,12495.333999999999
9.62,8.6,488.0,9.11,80.5,5.1,61.0,1.1,14.95,0.9,86.0,38.0,5.7,6.5,20086.0,18.0,46.0,1.6,17.6,86.0,58.0,23688.0,31245.0,19.0,Portugal,19121.592
7.02,5.5,472.0,9.46,76.2,6.1,60.0,1.2,14.99,0.6,81.0,92.0,3.0,6.6,17503.0,13.0,66.0,1.1,16.3,90.0,59.0,20307.0,8663.0,26.0,Slovak Republic,15991.736
5.89,17.8,490.0,12.96,82.5,6.5,56.0,0.6,16.06,0.1,71.0,55.0,4.2,7.3,22477.0,24.0,72.0,1.9,17.6,95.0,69.0,34824.0,24774.0,22.0,Spain,25864.721
1.13,6.5,482.0,1.37,81.8,7.2,74.0,0.7,15.11,0.0,95.0,88.0,5.1,10.9,29185.0,10.0,81.0,1.7,19.3,92.0,86.0,40818.0,60328.0,20.0,Sweden,49866.265999999996
6.72,3.0,518.0,1.46,82.8,7.5,80.0,0.5,14.98,0.0,96.0,86.0,4.2,8.4,33491.0,20.0,81.0,1.8,17.3,96.0,49.0,54236.0,108823.0,22.0,Switzerland,80675.308
40.86,8.1,462.0,2.37,74.6,5.6,50.0,1.2,13.42,12.7,62.0,34.0,5.0,5.5,14095.0,35.0,68.0,1.1,16.4,86.0,88.0,16919.0,3251.0,21.0,Turkey,9437.372
12.7,5.2,502.0,2.77,81.0,6.8,71.0,0.3,14.83,0.2,88.0,78.0,1.9,11.5,27029.0,13.0,74.0,1.9,16.4,91.0,66.0,41192.0,60778.0,23.0,United Kingdom,43770.687999999995
11.3,5.9,492.0,1.91,78.7,7.2,67.0,5.2,14.27,0.1,85.0,89.0,1.5,8.3,41355.0,18.0,88.0,2.4,17.2,90.0,68.0,56340.0,145769.0,18.0,United States,55805.204000000005
10.41,4.6,402.0,1.97,73.7,7.0,67.0,25.5,14.97,6.7,72.0,45.0,7.9,4.0,11664.0,18.0,69.0,1.6,16.3,90.0,79.0,17177.0,6844.0,21.0,Brazil,8669.998
15.42,4.4,436.0,1.59,78.9,6.7,62.0,4.4,14.41,9.4,73.0,57.0,6.9,2.0,14533.0,46.0,59.0,1.2,16.5,86.0,49.0,22101.0,17733.0,18.0,Chile,13340.905
3.3,5.2,526.0,3.82,76.5,5.6,68.0,4.8,14.9,8.1,79.0,90.0,5.5,3.3,15167.0,9.0,54.0,1.5,17.5,89.0,64.0,18944.0,7680.0,19.0,Estonia,17288.083
16.03,5.0,474.0,0.79,81.8,7.4,67.0,2.3,14.48,3.7,68.0,85.0,6.4,2.5,22104.0,21.0,80.0,1.2,15.8,87.0,68.0,28817.0,52933.0,21.0,Israel,35343.336
0.16,4.0,481.0,1.7,70.2,6.0,69.0,12.8,14.97,15.1,56.0,94.0,3.8,2.5,19292.0,15.0,37.0,0.9,16.0,90.0,65.0,20885.0,3412.0,11.0,Russia,9054.914
5.63,5.5,499.0,5.15,80.2,5.7,63.0,0.4,14.62,0.5,88.0,85.0,3.9,10.3,19326.0,26.0,65.0,1.5,18.4,90.0,52.0,32037.0,18465.0,20.0,Slovenia,20732.482
